Filename;Algoritmo;Tempo (sec);Score;Matches;Mismatches;Gaps;;;;;;;;;;
Algorithm;t_coffee;37.52375631332397;38527.26666666667;9993;13201;1608;;;;;;;;;;
Algorithm;clustalw;34.604277110099794;45080.7;0;0;0;;;;;;;;;;
Algorithm;Before alignment;0.0;17479.5;5965;18034;0;;;;;;;;;;
Number_100;kalign;1.4483112494150798;12680.666666666666;3192;4625;363;;;;;;;;;;
Number_100;muscle;2.1841303507486978;7614.0;3790;3032;2354;;;;;;;;;;
Number_100;t_coffee;5.229582230250041;12792.833333333334;3322;4410;534;;;;;;;;;;
Number_100;clustalw;3.9148526191711426;14988.0;0;0;0;;;;;;;;;;
Number_100;Before alignment;0.0;6053.333333333333;1998;6001;0;;;;;Número de linhas;KALIGN;MUSCLE;T-COFFEE;CLUSTALW;NONE
Number_200;kalign;2.477192838986715;25386.333333333332;6385;9253;721;;;;;100 linhas;12680,66667;7614;12792,83333;14988;6053,333333
Number_200;muscle;6.31488295396169;15664.333333333334;7607;6054;4677;;;;;200 linhas;25386,33333;15664,33333;25675;30128,83333;11775,5
Number_200;t_coffee;14.72451082865397;25675.0;6654;8808;1073;;;;;300 linhas;37799;22385,83333;38328,5;44898;17574,83333
Number_200;clustalw;12.30871570110321;30128.833333333332;0;0;0;;;;;400 linhas;50517,83333;29995,16667;51431,5;60088,16667;23200
Number_200;Before alignment;0.0;11775.5;3988;12012;0;;;;;500 linhas;63494,66667;37242,33333;64408,5;75300,5;28793,83333
Number_300;kalign;4.262478907903035;37799.0;9592;13865;1084;;;;;;;;;;
Number_300;muscle;16.851290424664814;22385.833333333332;11363;9056;7160;;;;;;;;;;
Number_300;t_coffee;31.59782648086548;38328.5;10021;13158;1639;;;;;;;;;;
Number_300;clustalw;28.859205325444538;44898.0;0;0;0;;;;;;;;;;
Number_300;Before alignment;0.0;17574.833333333332;5991;18008;0;;;;;;;;;;
Number_400;kalign;6.67507000764211;50517.833333333336;12744;18542;1427;;;;;;;;;;
Number_400;muscle;32.23565649986267;29995.166666666668;15084;12172;9486;;;;;;;;;;
Number_400;t_coffee;53.77927100658417;51431.5;13341;17586;2145;;;;;;;;;;
Number_400;clustalw;50.19674630959829;60088.166666666664;0;0;0;;;;;;;;;;
Number_400;Before alignment;0.0;23200.0;7939;24060;0;;;;;;;;;;
Number_500;kalign;9.8914848168691;63494.666666666664;15941;23155;1805;;;;;;;;;;
Number_500;muscle;49.996297200520836;37242.333333333336;18817;15195;11973;;;;;;;;;;
Number_500;t_coffee;82.28759102026622;64408.5;16630;22044;2650;;;;;;;;;;
Number_500;clustalw;77.74186559518178;75300.5;0;0;0;;;;;;;;;;
Number_500;Before alignment;0.0;28793.833333333332;9908;30091;0;;;;;;;;;;
